CATEGORY,QUESTION,ANSWER,image_file,has_image,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11021.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11022.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11023.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11024.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11025.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11026.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11027.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11028.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11029.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11030.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11031.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11032.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11033.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11034.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11035.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11036.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11037.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11038.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11039.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11040.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11041.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11042.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11043.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11044.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11045.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11046.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11047.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11048.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11049.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11050.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11051.png,1,A,B,C,"D\nどれ भीふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11052.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11053.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11054.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11055.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11056.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11057.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11058.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11059.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11060.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11061.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11062.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11063.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11064.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11065.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11066.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
